IATA,AIRPORT,CITY,STATE,LATITUDE,,,,,,Y-coordinate,LONGITUDE,,,,,,X-coordinate
APN,Alpena County Regional ,Alpena,MI,45.0780675,-37.61900194,7.45906556,-4.9656,-37.03873594,465,427.9612641,-83.56028583,122.3748433,38.81455747,5.7618,223.6417172,320,543.6417172
ART,Watertown Intl,Watertown,NY,43.99192222,-37.61900194,6.37292028,-4.9656,-31.64537294,465,433.3546271,-76.02173861,122.3748433,46.35310469,5.7618,267.0773186,320,587.0773186
ASE,Aspen-Pitkin Co Sardy ,Aspen,CO,39.22316,-37.61900194,1.60415806,-4.9656,-7.965607263,465,457.0343927,-106.868845,122.3748433,15.5059983,5.7618,89.342461,320,409.342461
ATW,Outagamie County Regional,Appleton,WI,44.25740806,-37.61900194,6.63840612,-4.9656,-32.96366943,465,432.0363306,-88.51947556,122.3748433,33.85536774,5.7618,195.0678578,320,515.0678578
AVL,Asheville Regional,Asheville,NC,35.43619444,-37.61900194,-2.1828075,-4.9656,10.83894892,465,475.8389489,-82.54180556,122.3748433,39.83303774,5.7618,229.5099969,320,549.5099969
AVP,Wilkes-Barre Scranton Intl,Wilkes-Barre Scranton,PA,41.33814944,-37.61900194,3.7191475,-4.9656,-18.46779883,465,446.5322012,-75.7242675,122.3748433,46.6505758,5.7618,268.7912876,320,588.7912876
AZO,Kalamazoo County,Kalamazoo,MI,42.234875,-37.61900194,4.61587306,-4.9656,-22.92057927,465,442.0794207,-85.5520575,122.3748433,36.8227858,5.7618,212.1655272,320,532.1655272
BET,Bethel,Bethel,AK,60.77977639,-37.61900194,23.16077445,-4.9656,-115.0071416,465,297.4928584,-161.8379975,122.3748433,-39.4631542,5.7618,-227.3788019,320,118.9211981
BFL,Meadows ,Bakersfield,CA,35.43359806,-37.61900194,-2.18540388,-4.9656,10.85184151,465,475.8518415,-119.0567681,122.3748433,3.3180752,5.7618,19.11808569,320,339.1180857
BGM,Binghamton Regional,Binghamton,NY,42.20848278,-37.61900194,4.58948084,-4.9656,-22.78952606,465,442.2104739,-75.97961361,122.3748433,46.39522969,5.7618,267.3200344,320,587.3200344
BGR,Bangor International,Bangor,ME,44.80744444,-37.61900194,7.1884425,-4.9656,-35.69493008,465,429.3050699,-68.82813889,122.3748433,53.54670441,5.7618,308.5254015,320,628.5254015
BIL,Billings Logan Intl,Billings,MT,45.8076625,-37.61900194,8.18866056,-4.9656,-40.66161288,465,424.3383871,-108.5428611,122.3748433,13.8319822,5.7618,79.69711504,320,399.697115
BIS,Bismarck Municipal,Bismarck,ND,46.77411111,-37.61900194,9.15510917,-4.9656,-45.46061009,465,419.5393899,-100.7467222,122.3748433,21.6281211,5.7618,124.6169082,320,444.6169082
BJI,Bemidji-Beltrami County,Bemidji,MN,47.50942417,-37.61900194,9.89042223,-4.9656,-49.11188063,465,415.8881194,-94.93372333,122.3748433,27.44111997,5.7618,158.110245,320,478.110245
BLI,Bellingham Intl,Bellingham,WA,48.79275,-37.61900194,11.17374806,-4.9656,-55.48436337,465,409.5156366,-122.5375278,122.3748433,-0.1626845,5.7618,-0.937355552,320,319.0626444
BMI,Central Illinois Regional,Bloomington,IL,40.47798556,-37.61900194,2.85898362,-4.9656,-14.19656906,465,450.8034309,-88.91595278,122.3748433,33.45889052,5.7618,192.7834354,320,512.7834354
BOI,Boise Air Terminal,Boise,ID,43.56444444,-37.61900194,5.9454425,-4.9656,-29.52268928,465,435.4773107,-116.2227778,122.3748433,6.1520655,5.7618,35.446971,320,355.446971
BPT,Southeast Texas Regional,Beaumont Port Arthur,TX,29.95083333,-37.61900194,-7.66816861,-4.9656,38.07705805,465,503.077058,-94.02069444,122.3748433,28.35414886,5.7618,163.3709349,320,483.3709349
BQK,Glynco Jetport,Brunswick,GA,31.25902778,-37.61900194,-6.35997416,-4.9656,31.58108769,465,496.5810877,-81.46630556,122.3748433,40.90853774,5.7618,235.7068128,320,555.7068128
BQN,Rafael Hernandez,Aguadilla,PR,18.49486111,-37.61900194,-19.12414083,-4.9656,94.96283371,465,559.9628337,-67.12944444,122.3748433,55.24539886,5.7618,318.3129392,320,638.3129392
BRD,Brainerd-Crow Wing County Regional,Brainerd,MN,46.39785806,-37.61900194,8.77885612,-4.9656,-43.59228795,465,421.4077121,-94.1372275,122.3748433,28.2376158,5.7618,162.6994947,320,482.6994947
BRO,Brownsville S.Padre Island International,Brownsville,TX,25.90683333,-37.61900194,-11.71216861,-4.9656,58.15794445,465,523.1579444,-97.42586111,122.3748433,24.94898219,5.7618,143.7510456,320,463.7510456
BRW,Wiley Post Will Rogers Memorial,Barrow,AK,71.2854475,-37.61900194,33.66644556,-4.9656,-167.1741021,465,198.8258979,-156.7660019,122.3748433,-34.3911586,5.7618,-198.1549776,320,139.8450224
BTM,Bert Mooney,Butte,MT,45.95479528,-37.61900194,8.33579334,-4.9656,-41.39221541,465,423.6077846,-112.49746,122.3748433,9.8773833,5.7618,56.9115071,320,376.9115071
BTR,Baton Rouge Metropolitan,Baton Rouge,LA,30.53316083,-37.61900194,-7.08584111,-4.9656,35.18545262,465,500.1854526,-91.14963444,122.3748433,31.22520886,5.7618,179.9134084,320,499.9134084
BTV,Burlington International,Burlington,VT,44.47300361,-37.61900194,6.85400167,-4.9656,-34.03423069,465,430.9657693,-73.1503125,122.3748433,49.2245308,5.7618,283.6219016,320,603.6219016
BZN,Gallatin ,Bozeman,MT,45.77690139,-37.61900194,8.15789945,-4.9656,-40.50886551,465,424.4911345,-111.1530072,122.3748433,11.2218361,5.7618,64.65797524,320,384.6579752
CAE,Columbia Metropolitan,Columbia,SC,33.93884,-37.61900194,-3.68016194,-4.9656,18.27421213,465,483.2742121,-81.11953944,122.3748433,41.25530386,5.7618,237.7048098,320,557.7048098
CAK,Akron-Canton Regional,Akron,OH,40.91631194,-37.61900194,3.29731,-4.9656,-16.37312254,465,448.6268775,-81.44246556,122.3748433,40.93237774,5.7618,235.8441741,320,555.8441741
CDC,Cedar City Muni,Cedar City,UT,37.70097028,-37.61900194,0.08196834,-4.9656,-0.407021989,465,464.592978,-113.098575,122.3748433,9.2762683,5.7618,53.44800269,320,373.4480027
